nba_id,stattleship_slug
203476,nba-gorgui-dieng
201579,nba-roy-hibbert
203893,nba-russ-smith
203491,nba-peyton-siva
203086,nba-meyers-leonard
979,nba-jermaine-o-neal
2754,nba-tony-allen
203805,nba-will-cherry
202779,nba-dwight-buycks
202334,nba-ed-davis
201142,nba-kevin-durant
201568,nba-danilo-gallinari
2742,nba-sebastian-telfair
203906,nba-devyn-marble
202419,chris-johnson
201580,nba-javale-mcgee
2747,nba-j-r-smith
200769,nba-shannon-brown
203487,nba-michael-carter-williams
203085,nba-austin-rivers
2555,nba-nick-collison
200809,nba-chris-quinn
201147,nba-corey-brewer
1626210,nba-alan-williams
467,nba-jason-kidd
202681,nba-kyrie-irving
201589,nba-darrell-arthur
1626199,nba-darrun-hilliard
203925,nba-joe-harris
1626176,nba-rakeem-christmas
1891,nba-jason-terry
202721,nba-darius-morris
203080,nba-thomas-robinson
203497,nba-rudy-gobert
101135,nba-david-lee
203475,nba-erick-green
203489,nba-nate-wolters
202702,nba-kenneth-faried
2853,nba-earl-barron
2733,nba-shaun-livingston
1626192,nba-pat-connaughton
1713,nba-vince-carter
203078,nba-bradley-beal
101181,nba-jose-calderon
201991,nba-lester-hudson
203099,nba-jared-cunningham
203101,nba-miles-plumlee
201603,nba-sonny-weems
203117,nba-doron-lamb
203953,nba-jabari-parker
203898,nba-tyler-ennis
203113,nba-quincy-miller
202698,nba-chris-singleton
1626183,nba-branden-dawson
201156,nba-nick-young
201593,nba-nikola-pekovic
203197,nba-diante-garrett
203940,nba-adreian-payne
202351,nba-lazar-hayward
1626191,nba-chris-mccullough
201585,nba-kosta-koufos
201785,nba-othyus-jeffers
201962,nba-toney-douglas
1627362,nba-briante-weber
203498,nba-shabazz-muhammad
203996,nba-damien-inglis
201979,nba-nick-calathes
2760,nba-anderson-varejao
201946,nba-tyler-hansbrough
202498,nba-lance-thomas
202723,nba-malcolm-lee
1626181,nba-norman-powell
101107,nba-marvin-williams
202933,nba-julyan-stone
201965,nba-jeff-ayres
1626164,nba-devin-booker
203526,nba-raul-neto
1626245,nba-chistiano-felicio
2584,nba-willie-green
202687,nba-bismack-biyombo
203950,nba-jarnell-stokes
201590,nba-donte-greene
101114,nba-deron-williams
1626161,nba-willie-cauley-stein
200750,nba-brandon-roy
203463,nba-ben-mclemore
2590,nba-mo-williams
2581,nba-steve-blake
201958,nba-rodrigue-beaubois
201976,nba-patrick-beverley
2617,nba-udonis-haslem
203318,nba-glen-rice-jr
202396,nba-samardo-samuels
201627,nba-anthony-morrow
201957,nba-byron-mullens
200789,nba-daniel-gibson
1626157,nba-karl-anthony-towns
101110,nba-martell-webster
201229,nba-anthony-tolliver
203088,nba-kendall-marshall
2422,nba-john-salmons
203462,nba-archie-goodwin
101132,nba-linas-kleiza
201959,nba-taj-gibson
203076,nba-anthony-davis
201880,nba-greg-stiemsma
201187,nba-dominic-mcguire
204054,nba-zoran-dragic
203926,nba-doug-mcdermott
202350,nba-daniel-orton
2211,nba-troy-murphy
203485,nba-lorenzo-brown
203126,nba-kris-joseph
203129,nba-tornike-shengelia
202338,nba-kevin-seraphin
1888,nba-richard-hamilton
2215,nba-jason-collins
202712,nba-justin-harper
204066,nba-john-holland
203114,nba-khris-middleton
948,nba-marcus-camby
203524,nba-solomon-hill
201577,nba-robin-lopez
201202,nba-joel-anthony
204025,nba-tim-frazier
2198,nba-kwame-brown
959,nba-steve-nash
1503,nba-tracy-mcgrady
202362,nba-lance-stephenson
1885,nba-lamar-odom
202734,nba-e-twaun-moore
200780,nba-solomon-jones
1733,nba-al-harrington
202710,nba-jimmy-butler
202688,nba-brandon-knight
2546,nba-carmelo-anthony
203103,nba-perry-jones
2572,nba-josh-howard
203963,nba-shayne-whittington
2222,nba-gerald-wallace
203109,nba-jae-crowder
203104,nba-marquis-teague
203921,nba-cleanthony-early
203102,nba-arnett-moultrie
