numberfire_slug,nba_id
ian-clark,203546
seth-curry,203552
james-michael-mcadoo,203949
kelly-oubre,1626162
brandan-wright,201148
bojan-bogdanovic,202711
steve-novak,200779
omer-asik,201600
dante-exum,203957
d-angelo-russell,1626156
henry-sims,203156
dante-cunningham,201967
tristan-thompson,202684
thanasis-antetokounmpo,203648
marcelo-huertas,1626273
kevon-looney,1626172
michael-beasley,201563
charlie-villanueva,101111
marreese-speights,201578
damjan-rudez,204014
chase-budinger,201978
tobias-harris,202699
jr-smith,2747
cristiano-felicio,1626245
eric-gordon,201569
dennis-schroder,203471
matt-bonner,2588
ian-mahinmi,101133
clint-capela,203991
danny-green,201980
aaron-gordon,203932
damien-inglis,203996
russell-westbrook,201566
trey-lyles,1626168
dirk-nowitzki,1717
luc-mbah-a-moute,201601
demar-derozan,201942
tim-duncan,1495
wayne-ellington,201961
shabazz-napier,203894
mason-plumlee,203486
matt-barnes,2440
lance-thomas,202498
emmanuel-mudiay,1626144
dahntay-jones,2563
gustavo-ayon,202970
quincy-pondexter,202347
iman-shumpert,202697
andrew-nicholson,203094
anthony-brown,1626148
ryan-anderson,201583
ray-mccallum,203492
joffrey-lauvergne,203530
serge-ibaka,201586
kirk-hinrich,2550
tyson-chandler,2199
jerryd-bayless,201573
bruno-caboclo,203998
tim-hardaway-jr,203501
ryan-kelly,203527
spencer-dinwiddie,203915
carl-landry,201171
jason-thompson,201574
tony-snell,203503
dion-waiters,203079
andre-miller,1889
kent-bazemore,203145
nikola-jokic,203999
nemanja-bjelica,202357
tayshaun-prince,2419
ben-mclemore,203463
gerald-henderson,201945
andre-drummond,203083
nicolas-batum,201587
james-anderson,202341
arron-afflalo,201167
jordan-mcrae,203895
cody-zeller,203469
marcus-morris,202694
derrick-rose,201565
myles-turner,1626167
markel-brown,203900
maurice-harkless,203090
lavoy-allen,202730
marcin-gortat,101162
kawhi-leonard,202695
al-jefferson,2744
channing-frye,101112
devin-harris,2734
shane-larkin,203499
otto-porter,203490
darren-collison,201954
demarre-carroll,201960
nerlens-noel,203457
jabari-parker,203953
boban-marjanovic,1626246
andre-iguodala,2738
roy-hibbert,201579
stanley-johnson,1626169
alonzo-gee,202087
gary-harris,203914
elton-brand,1882
evan-fournier,203095
mario-hezonja,1626209
jared-dudley,201162
john-henson,203089
trey-burke,203504
andre-roberson,203460
jusuf-nurkic,203994
jonas-jerebko,201973
aron-baynes,203382
aaron-harrison,1626151
markieff-morris,202693
dwight-howard,2730
matthew-dellavedova,203521
greg-monroe,202328
shabazz-muhammad,203498
kristaps-porzingis,204001
chandler-parsons,202718
chris-andersen,2365
mitch-mcgary,203956
sasha-kaun,201619
jose-barea,200826
james-harden,201935
gerald-green,101123
nikola-mirotic,202703
victor-oladipo,203506
kevin-garnett,708
dj-augustin,201571
leandro-barbosa,2571
jarell-eddie,204067
andrew-bogut,101106
derrick-favors,202324
kendrick-perkins,2570
jrue-holiday,201950
terrence-jones,203093
bryce-dejean-jones,1626214
jeremy-lin,202391
josh-huestis,203962
alexis-ajinca,201582
rashad-vaughn,1626173
paul-george,202331
christian-wood,1626174
patrick-mills,201988
glenn-robinson-iii,203922
k-j-mcdaniels,203909
c-j-wilcox,203912
louis-amundson,200811
p-j-hairston,203798
louis-williams,101150
c-j-mccollum,203468
joseph-young,1626202
r-j-hunter,1626154
t-j-warren,203933
cj-watson,201228
p-j-tucker,200782
ishmael-smith,202397
johnny-o-bryant-iii,203948
jj-hickson,201581
nene-hilario,2403
jj-redick,200755
roy-devyn-marble,203906
cj-miles,101139
t-j-mcconnell,204456
