"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"15414-18600","PG","Tyler","Johnson","16.452777777777776","36","3500","MIA@CHA","MIA","CHA","O","Shoulder","",""
"15414-9887","C","Nazr","Mohammed","1.9600000000000002","5","3500","DAL@OKC","OKC","DAL","","","",""
"15414-14532","SF","Kyle","Singler","7.091176470588235","68","3500","DAL@OKC","OKC","DAL","","","",""
"15414-23757","PG","Brian","Roberts","6.592156862745098","51","3500","LAC@POR","POR","LAC","","","",""
"15414-15503","PG","Jorge","Gutierrez","4.658333333333333","12","3500","MIA@CHA","CHA","MIA","","","",""
"15414-15501","SG","Allen","Crabbe","16.465432098765433","81","3500","LAC@POR","POR","LAC","","","",""
"15414-9680","PF","Amar'e","Stoudemire","13.075","52","3500","MIA@CHA","MIA","CHA","","","",""
"15414-9563","C","Chris","Kaman","5.33125","16","3500","LAC@POR","POR","LAC","","","",""
"15414-64017","C","Salah","Mejri","10.370588235294118","34","3500","DAL@OKC","DAL","OKC","GTD","Hip","",""
"15414-16196","PF","Dwight","Powell","12.646376811594202","69","3500","DAL@OKC","DAL","OKC","","","",""
"15414-9849","SG","Gerald","Green","13.936231884057971","69","3500","MIA@CHA","MIA","CHA","","","",""
"15414-9551","PF","Tyler","Hansbrough","5.654545454545455","44","3500","MIA@CHA","CHA","MIA","","","",""
"15414-15858","PF","Branden","Dawson","1.9666666666666668","6","3500","LAC@POR","LAC","POR","","","",""
"15414-58150","PF","Cliff","Alexander","2.775","8","3500","LAC@POR","POR","LAC","","","",""
"15414-15592","PG","Austin","Rivers","14.186567164179104","67","3500","LAC@POR","LAC","POR","","","",""
"15414-12348","SF","Wesley","Johnson","14.451249999999998","80","3500","LAC@POR","LAC","POR","","","",""
"15414-23234","PG","Pablo","Prigioni","9.081355932203389","59","3500","LAC@POR","LAC","POR","","","",""
"15414-15993","SG","Pat","Connaughton","2.4529411764705884","34","3500","LAC@POR","POR","LAC","","","",""
"15414-63477","SF","Luis","Montero","1.3583333333333334","12","3500","LAC@POR","POR","LAC","","","",""
"15414-9589","PF","Udonis","Haslem","4.837837837837838","37","3500","MIA@CHA","MIA","CHA","","","",""
"15414-9796","SF","Luc Richard","Mbah a Moute","7.642666666666667","75","3500","LAC@POR","LAC","POR","","","",""
"15414-15559","SG","Jeremy","Lamb","16.543939393939397","66","3500","MIA@CHA","CHA","MIA","","","",""
"15414-9700","C","Spencer","Hawes","14.671929824561403","57","3500","MIA@CHA","CHA","MIA","","","",""
"15414-20805","SG","Troy","Daniels","8.044186046511628","43","3500","MIA@CHA","CHA","MIA","","","",""
"15414-9459","SF","Paul","Pierce","11.598529411764707","68","3500","LAC@POR","LAC","POR","","","",""
"15414-9941","PF","Jeff","Ayres","3.7588235294117647","17","3500","LAC@POR","LAC","POR","","","",""
"15414-20815","PG","Briante","Weber","15.357142857142858","7","3500","MIA@CHA","MIA","CHA","","","",""
"15414-9951","SG","Gerald","Henderson","14.412500000000001","72","3500","LAC@POR","POR","LAC","","","",""
