nba_id,game_time,played_at_home,played_against,plus_minus,time_played_total,rebounds_total,assists,steals,blocks,turnovers,points
201939,1386306000000,nba-hou,False,-12,32,1,5,3,0,8,22
201939,1386392400000,nba-mem,False,21,45,6,15,0,1,1,22
201939,1386565200000,nba-cha,False,3,46,6,9,0,2,4,43
201939,1386738000000,nba-dal,True,5,44,4,10,3,0,8,33
201939,1386910800000,nba-hou,True,-18,39,2,9,0,0,6,20
201939,1387083600000,nba-phx,False,-4,42,6,7,3,0,6,30
201939,1387256400000,nba-nop,True,22,33,4,11,3,0,3,28
201939,1387429200000,nba-sas,True,-5,40,2,15,4,0,5,30
201939,1387602000000,nba-lal,True,26,33,6,10,3,0,1,18
201939,1387774800000,nba-den,False,8,35,3,7,2,1,2,14
201939,1387947600000,nba-lac,True,8,42,6,11,1,0,2,15
201939,1388120400000,nba-phx,True,27,34,13,16,1,0,7,14
201939,1388293200000,nba-cle,False,2,48,9,11,2,1,5,29
201939,1388466000000,nba-orl,False,21,30,5,8,0,0,6,9
201939,1388638800000,nba-mia,False,16,44,2,12,2,0,4,36
201939,1388725200000,nba-atl,False,12,35,8,9,5,0,9,22
201939,1388898000000,nba-was,False,35,38,3,10,1,1,2,14
201939,1389070800000,nba-mil,False,11,36,0,6,1,0,7,15
201939,1389157200000,nba-bkn,False,1,45,5,7,3,0,7,34
201939,1389330000000,nba-bos,True,5,40,7,4,1,0,4,19
201939,1389762000000,nba-den,True,4,40,5,7,0,0,2,24
201939,1389934800000,nba-okc,False,-10,38,3,11,3,0,7,37
201939,1390021200000,nba-nop,False,15,38,6,8,4,0,0,28
201939,1390194000000,nba-ind,True,-4,41,3,9,0,0,2,24
201939,1390539600000,nba-min,True,-3,37,3,15,1,0,5,33
201939,1390712400000,nba-por,True,12,35,7,8,2,0,2,38
201939,1390885200000,nba-was,True,-9,38,2,4,4,0,6,23
201939,1391058000000,nba-lac,True,23,34,4,7,1,1,3,22
201939,1391144400000,nba-uta,False,15,38,2,4,0,0,2,44
201939,1391490000000,nba-cha,True,-18,38,3,11,0,0,2,17
201939,1391662800000,nba-chi,True,12,43,3,9,1,0,2,34
201939,1391835600000,nba-phx,False,-15,41,2,9,0,0,2,28
201939,1392008400000,nba-phi,True,34,27,5,8,1,0,7,23
201939,1392181200000,nba-mia,True,4,39,5,7,1,0,5,29
201939,1392786000000,nba-sac,False,12,36,1,8,1,0,0,13
201939,1392872400000,nba-hou,True,13,38,2,6,2,0,2,25
201939,1393045200000,nba-bkn,True,12,32,5,8,2,0,2,17
201939,1393218000000,nba-det,False,-2,36,8,9,0,0,4,19
201939,1393390800000,nba-chi,False,-12,28,3,5,0,0,5,5
201939,1393563600000,nba-nyk,False,19,30,11,11,0,1,4,27
201939,1393736400000,nba-tor,False,-1,43,4,7,1,0,6,34
201939,1393909200000,nba-ind,False,-7,32,8,6,2,0,4,19
201939,1393995600000,nba-bos,False,28,22,3,4,1,0,0,14
201939,1394168400000,nba-atl,True,10,30,3,7,1,0,0,13
201939,1394341200000,nba-phx,True,11,30,2,9,0,0,1,18
201939,1394510400000,nba-dal,True,-3,22,2,4,3,0,3,10
201939,1394596800000,nba-lac,False,2,29,5,11,1,0,4,13
201939,1394769600000,nba-cle,True,3,36,4,8,3,0,4,27
201939,1394942400000,nba-por,False,-5,40,4,5,1,0,5,37
201939,1395115200000,nba-orl,True,21,32,3,5,0,0,3,23
201939,1395288000000,nba-mil,True,13,38,3,10,1,0,4,31
201939,1395460800000,nba-sas,True,-7,39,6,6,1,0,6,20
201939,1395979200000,nba-mem,True,9,38,5,8,1,2,3,33
201939,1396152000000,nba-nyk,True,5,41,4,1,1,0,2,32
201939,1396324800000,nba-dal,False,8,43,3,10,2,0,1,23
201939,1396411200000,nba-sas,False,-19,31,0,10,1,0,4,11
201939,1396584000000,nba-sac,True,28,29,2,5,1,0,1,13
201939,1396756800000,nba-uta,True,31,29,1,16,3,0,5,31
201939,1397102400000,nba-den,True,-3,34,7,6,4,0,2,24
201939,1397188800000,nba-lal,False,13,35,10,12,2,0,6,30
201939,1397361600000,nba-por,False,6,45,1,5,4,0,4,47
201939,1397448000000,nba-min,True,10,42,5,15,3,0,5,32
201939,1414555200000,nba-sac,False,20,37,10,5,6,0,4,24
201939,1414814400000,nba-lal,True,30,34,5,10,3,0,2,31
201939,1414900800000,nba-por,False,12,31,5,6,2,0,3,21
201939,1415163600000,nba-lac,True,21,34,6,7,1,0,5,28
201939,1415422800000,nba-hou,False,13,40,9,5,4,0,5,34
201939,1415509200000,nba-phx,False,-6,34,2,10,5,0,10,28
201939,1415682000000,nba-sas,True,-18,36,6,5,0,0,3,16
201939,1415854800000,nba-bkn,True,6,32,3,5,0,0,3,17
201939,1416027600000,nba-cha,True,23,28,5,9,1,0,1,19
201939,1416114000000,nba-lal,False,27,30,4,15,1,0,3,30
201939,1416546000000,nba-uta,True,23,25,5,10,2,0,4,8
201939,1416718800000,nba-okc,False,2,38,6,6,1,0,1,15
201939,1416891600000,nba-mia,False,28,37,6,7,3,1,2,40
201939,1416978000000,nba-orl,False,22,24,5,8,0,0,1,28
201939,1417150800000,nba-cha,False,16,32,4,6,1,2,4,26
201939,1417323600000,nba-det,False,11,28,3,10,1,0,1,16
201939,1417496400000,nba-orl,True,8,36,4,5,0,0,4,22
201939,1417669200000,nba-nop,True,11,31,3,11,4,1,2,19
201939,1417842000000,nba-chi,False,7,36,6,7,1,0,3,19
201939,1418014800000,nba-min,False,22,31,4,7,3,1,3,21
201939,1418187600000,nba-hou,True,16,37,7,7,0,0,4,20
201939,1418446800000,nba-dal,False,13,37,3,8,2,0,1,29
201939,1418533200000,nba-nop,False,5,40,7,7,1,0,6,34
201939,1418706000000,nba-mem,False,16,39,7,6,4,0,3,19
201939,1418878800000,nba-okc,True,7,42,7,9,4,1,4,34
201939,1419224400000,nba-sac,True,15,26,2,11,3,0,1,12
201939,1419310800000,nba-lal,False,-10,30,2,6,3,0,7,22
201939,1419483600000,nba-lac,False,-12,36,9,7,2,0,5,14
201939,1419656400000,nba-min,True,18,31,3,6,3,0,3,25
201939,1419915600000,nba-phi,True,28,27,3,9,3,0,3,13
201939,1420174800000,nba-tor,True,25,34,5,12,1,0,0,32
201939,1420434000000,nba-okc,True,15,31,9,6,4,0,2,19
201939,1420606800000,nba-ind,True,12,35,3,15,4,0,5,21
201939,1420779600000,nba-cle,True,10,35,1,10,2,0,1,23
201939,1421125200000,nba-uta,False,17,29,2,11,0,0,2,27
201939,1421211600000,nba-mia,True,11,32,5,3,2,0,3,32
201939,1421384400000,nba-okc,False,-4,31,3,6,2,0,6,19
201939,1421470800000,nba-hou,False,25,33,7,11,3,1,2,27
201939,1421643600000,nba-den,True,18,25,1,8,1,2,1,20
201939,1421816400000,nba-hou,True,23,34,3,10,1,0,6,22
201939,1421989200000,nba-sac,True,20,29,4,11,2,0,6,10
201939,1422162000000,nba-bos,True,6,33,4,11,2,0,3,22
201939,1422334800000,nba-chi,True,-3,43,4,9,3,0,3,21
201939,1422594000000,nba-uta,False,-11,34,7,6,3,0,2,32
201939,1422680400000,nba-phx,True,23,37,4,7,2,1,1,25
201939,1422939600000,nba-sac,False,7,29,5,9,3,0,2,23
201939,1423026000000,nba-dal,True,0,37,4,4,1,0,3,51
201939,1423198800000,nba-atl,False,-5,36,2,9,2,2,1,26
201939,1423285200000,nba-nyk,False,21,31,6,0,2,0,3,22
201939,1423458000000,nba-phi,False,0,32,5,6,3,0,1,20
201939,1423630800000,nba-min,False,0,36,5,8,3,0,3,25
201939,1424408400000,nba-sas,True,22,32,4,11,4,0,2,25
201939,1424754000000,nba-was,False,1,34,0,8,2,0,0,32
201939,1424926800000,nba-cle,False,-10,34,3,6,1,0,4,18
201939,1425013200000,nba-tor,False,33,25,6,5,2,0,2,22
201939,1425186000000,nba-bos,False,8,38,4,5,1,0,5,37
201939,1425272400000,nba-bkn,False,1,29,2,7,1,0,4,26
201939,1425445200000,nba-mil,True,6,37,1,11,2,2,5,19
201939,1425618000000,nba-dal,True,23,31,2,7,2,1,3,22
201939,1425790800000,nba-lac,True,15,32,1,4,3,0,4,12
201939,1425873600000,nba-phx,False,23,36,6,5,4,0,4,36
201939,1426046400000,nba-det,True,8,34,5,11,1,0,3,9
201939,1426305600000,nba-nyk,True,30,27,3,11,3,0,1,25
201939,1426478400000,nba-lal,True,-4,33,4,9,3,0,6,19
201939,1426651200000,nba-atl,True,16,30,4,12,0,0,4,16
201939,1426824000000,nba-nop,True,11,27,2,11,0,0,3,16
