Player,Score,Points,Rebounds,Steals,Assists,Turnovers,Blocks,Dates
nba-gerald-green,17.2,6,6,4,0,4,0,2015-12-03
nba-gerald-green,17.6,11,3,0,0,1,2,2015-12-05
nba-gerald-green,13.2,12,1,0,0,0,0,2015-12-07
nba-gerald-green,17.6,13,3,1,0,1,0,2015-12-09
nba-gerald-green,15.0,9,5,0,0,0,0,2015-12-11
nba-gerald-green,19.2,16,1,1,0,0,0,2015-12-13
nba-gerald-green,27.4,25,2,1,0,2,0,2015-12-14
nba-gerald-green,25.7,13,6,2,1,2,1,2015-12-16
nba-gerald-green,13.3,7,4,1,1,2,0,2015-12-18
nba-gerald-green,19.7,19,1,0,1,2,0,2015-12-20
nba-gerald-green,18.4,7,7,0,2,0,0,2015-12-22
nba-gerald-green,22.5,20,0,1,1,1,0,2015-12-25
nba-gerald-green,3.2,2,1,0,0,0,0,2015-12-26
nba-gerald-green,20.6,15,3,1,0,0,0,2015-12-28
nba-gerald-green,16.6,9,3,1,2,1,0,2015-12-29
nba-gerald-green,2.0,2,0,0,0,0,0,2016-01-01
nba-gerald-green,20.3,8,4,0,1,0,3,2016-01-03
nba-gerald-green,22.4,15,2,1,2,0,0,2016-01-04
nba-gerald-green,41.1,30,3,3,1,0,0,2016-01-06
nba-gerald-green,21.9,10,2,3,1,0,1,2016-01-08
nba-gerald-green,3.7,0,1,1,1,1,0,2016-01-09
nba-gerald-green,12.7,5,6,0,1,1,0,2016-01-11
nba-gerald-green,9.2,6,1,0,0,0,1,2016-01-13
nba-gerald-green,22.5,16,5,0,1,3,1,2016-01-15
nba-gerald-green,7.6,2,3,0,2,1,0,2016-01-17
nba-gerald-green,16.0,8,5,1,0,0,0,2016-01-19
nba-gerald-green,8.8,3,4,1,0,1,0,2016-01-20
nba-gerald-green,23.9,19,2,1,1,1,0,2016-01-22
nba-gerald-green,13.7,11,1,0,1,0,0,2016-01-25
nba-gerald-green,0.0,0,0,0,0,0,0,2016-01-31
nba-gerald-green,16.2,15,1,0,0,0,0,2016-02-02
nba-gerald-green,20.1,12,3,1,1,1,1,2016-02-03
nba-gerald-green,9.4,5,2,0,0,0,1,2016-02-07
nba-gerald-green,3.2,3,1,0,0,1,0,2016-02-09
nba-gerald-green,13.7,9,1,0,1,0,1,2016-02-19
nba-gerald-green,1.6,0,3,0,0,2,0,2016-02-24
nba-gerald-green,0.2,0,1,0,0,1,0,2016-02-27
nba-gerald-green,7.0,7,0,0,0,0,0,2016-03-01
nba-gerald-green,11.9,8,2,0,1,0,0,2016-03-03
nba-gerald-green,32.3,21,4,1,3,0,0,2016-03-04
nba-gerald-green,5.7,4,1,0,1,1,0,2016-03-06
nba-gerald-green,5.2,5,1,0,0,1,0,2016-03-09
nba-gerald-green,8.0,6,0,0,2,1,0,2016-03-11
nba-gerald-green,12.9,3,7,0,1,0,0,2016-03-12
nba-gerald-green,23.8,15,4,1,2,1,0,2016-03-14
nba-gerald-green,16.1,7,3,2,1,0,0,2016-03-17
nba-gerald-green,19.7,17,1,0,1,0,0,2016-03-19
nba-gerald-green,0.0,0,0,0,0,0,0,2016-03-22
nba-gerald-green,26.0,14,5,2,2,3,1,2016-03-23
nba-gerald-green,8.4,5,2,0,2,2,0,2016-03-25
nba-gerald-green,0.0,0,0,0,0,0,0,2016-03-28
nba-gerald-green,11.6,7,3,1,0,1,0,2016-03-30
nba-gerald-green,23.3,13,4,0,3,1,1,2016-04-01
nba-gerald-green,8.3,2,4,0,1,0,0,2016-04-02
nba-gerald-green,3.0,3,0,0,0,0,0,2016-04-05
nba-gerald-green,9.6,7,3,0,0,1,0,2016-04-07
nba-gerald-green,16.1,9,3,0,1,0,1,2016-04-08
nba-gerald-green,8.2,5,1,1,0,0,0,2016-04-10
nba-gerald-green,7.2,4,1,0,2,1,0,2016-04-13
nba-gerald-green,1.2,0,1,0,0,0,0,current
nba-gerald-henderson,12.4,4,2,2,2,1,0,2015-11-11
nba-gerald-henderson,26.8,19,4,0,2,0,0,2015-11-13
nba-gerald-henderson,19.0,10,5,0,2,0,0,2015-11-15
nba-gerald-henderson,13.4,2,2,2,2,0,1,2015-11-16
nba-gerald-henderson,14.8,11,4,1,0,3,0,2015-11-18
nba-gerald-henderson,8.9,5,2,0,1,2,1,2015-11-20
nba-gerald-henderson,28.5,15,5,1,5,2,0,2015-11-22
nba-gerald-henderson,18.8,13,4,1,0,1,0,2015-11-24
nba-gerald-henderson,21.4,12,7,0,0,1,1,2015-11-28
nba-gerald-henderson,27.3,16,4,2,1,1,1,2015-11-30
nba-gerald-henderson,24.8,11,4,1,4,1,1,2015-12-01
nba-gerald-henderson,16.9,11,2,1,1,0,0,2015-12-03
nba-gerald-henderson,9.2,4,1,0,0,0,2,2015-12-05
nba-gerald-henderson,10.5,1,5,1,1,0,0,2015-12-07
nba-gerald-henderson,16.5,11,5,0,1,2,0,2015-12-08
nba-gerald-henderson,12.6,8,3,0,2,2,0,2015-12-11
nba-gerald-henderson,-0.8,0,1,0,0,2,0,2015-12-12
nba-gerald-henderson,24.5,10,5,1,3,0,1,2015-12-14
nba-gerald-henderson,8.6,7,3,0,0,2,0,2015-12-16
nba-gerald-henderson,12.1,5,3,0,1,0,1,2015-12-18
nba-gerald-henderson,14.4,12,2,0,0,0,0,2015-12-20
nba-gerald-henderson,19.2,9,6,0,2,0,0,2015-12-21
nba-gerald-henderson,22.1,16,3,1,1,1,0,2015-12-23
nba-gerald-henderson,26.3,20,4,0,1,0,0,2015-12-26
nba-gerald-henderson,12.7,3,6,1,1,1,0,2015-12-27
nba-gerald-henderson,11.3,4,4,1,1,1,0,2015-12-30
nba-gerald-henderson,4.5,4,0,0,1,1,0,2015-12-31
nba-gerald-henderson,9.3,4,4,0,1,1,0,2016-01-03
nba-gerald-henderson,9.7,7,1,0,1,0,0,2016-01-04
nba-gerald-henderson,4.9,0,2,0,1,1,1,2016-01-06
nba-gerald-henderson,19.3,9,4,2,1,0,0,2016-01-08
nba-gerald-henderson,16.2,12,1,0,2,0,0,2016-01-10
nba-gerald-henderson,5.2,5,1,1,0,3,0,2016-01-13
nba-gerald-henderson,6.1,2,3,0,1,1,0,2016-01-15
nba-gerald-henderson,2.2,2,1,0,0,1,0,2016-01-16
nba-gerald-henderson,13.1,8,3,0,1,0,0,2016-01-18
nba-gerald-henderson,12.6,9,3,1,0,2,0,2016-01-20
nba-gerald-henderson,16.0,13,0,1,2,2,0,2016-01-23
nba-gerald-henderson,17.8,8,4,2,0,1,1,2016-01-26
nba-gerald-henderson,8.6,3,3,1,0,0,0,2016-01-29
nba-gerald-henderson,14.1,10,3,0,1,1,0,2016-01-31
nba-gerald-henderson,8.2,4,1,0,2,2,1,2016-02-02
nba-gerald-henderson,3.4,4,2,0,0,3,0,2016-02-04
nba-gerald-henderson,13.2,6,6,1,0,2,0,2016-02-06
nba-gerald-henderson,30.3,19,4,1,3,0,0,2016-02-08
nba-gerald-henderson,7.0,7,0,0,0,0,0,2016-02-10
nba-gerald-henderson,24.8,12,4,2,2,1,1,2016-02-19
nba-gerald-henderson,26.8,14,9,0,0,0,1,2016-02-21
nba-gerald-henderson,16.1,11,3,1,1,4,1,2016-02-23
nba-gerald-henderson,7.0,2,0,1,2,2,1,2016-02-25
nba-gerald-henderson,6.0,4,0,1,0,0,0,2016-02-27
nba-gerald-henderson,11.3,4,4,0,1,1,1,2016-02-28
nba-gerald-henderson,22.6,17,3,0,2,1,0,2016-03-01
nba-gerald-henderson,2.0,2,0,0,0,0,0,2016-03-02
nba-gerald-henderson,20.8,13,4,0,2,0,0,2016-03-04
nba-gerald-henderson,16.4,12,2,0,2,1,0,2016-03-06
nba-gerald-henderson,2.0,6,0,0,0,4,0,2016-03-08
nba-gerald-henderson,13.8,10,4,0,0,1,0,2016-03-12
nba-gerald-henderson,19.6,12,3,0,4,2,0,2016-03-14
nba-gerald-henderson,16.1,10,3,1,1,1,0,2016-03-17
nba-gerald-henderson,7.4,5,2,0,0,0,0,2016-03-18
nba-gerald-henderson,24.8,15,4,1,2,0,0,2016-03-20
nba-gerald-henderson,21.4,19,2,0,0,0,0,2016-03-23
nba-gerald-henderson,17.8,8,4,0,2,0,1,2016-03-24
nba-gerald-henderson,11.3,2,4,1,1,1,1,2016-03-26
nba-gerald-henderson,20.9,13,2,2,1,0,0,2016-03-28
nba-gerald-henderson,27.2,19,6,1,0,1,0,2016-03-31
nba-gerald-henderson,9.0,9,0,0,0,0,0,2016-04-02
nba-gerald-henderson,4.2,5,1,0,0,2,0,2016-04-05
nba-gerald-henderson,13.4,9,2,1,0,0,0,2016-04-06
nba-gerald-henderson,16.0,6,5,2,0,0,0,2016-04-09
nba-gerald-henderson,11.9,10,2,0,1,2,0,2016-04-13
nba-gerald-henderson,8.8,4,4,0,0,0,0,current
nba-terrence-ross,23.8,21,4,0,0,2,0,2015-10-28
nba-terrence-ross,13.6,6,3,0,0,0,2,2015-10-30
nba-terrence-ross,13.9,6,2,3,1,2,0,2015-11-01
nba-terrence-ross,10.4,6,2,0,0,0,1,2015-11-03
nba-terrence-ross,8.6,6,3,0,0,3,1,2015-11-04
nba-terrence-ross,6.5,5,0,0,1,0,0,2015-11-06
nba-terrence-ross,17.1,11,3,0,1,1,1,2015-11-08
nba-terrence-ross,21.7,17,1,1,1,0,0,2015-11-17
nba-terrence-ross,17.7,14,1,0,1,1,1,2015-11-18
nba-terrence-ross,14.7,7,1,1,3,2,1,2015-11-20
nba-terrence-ross,14.9,9,2,1,1,0,0,2015-11-22
nba-terrence-ross,12.2,3,1,2,0,0,2,2015-11-25
nba-terrence-ross,21.8,11,4,2,2,1,0,2015-11-28
nba-terrence-ross,29.8,18,4,2,2,0,0,2015-11-29
nba-terrence-ross,29.7,27,1,0,1,0,0,2015-12-02
nba-terrence-ross,14.2,14,1,0,0,1,0,2015-12-03
nba-terrence-ross,9.2,4,1,1,2,1,0,2015-12-05
nba-terrence-ross,3.2,2,1,0,0,0,0,2015-12-07
nba-terrence-ross,20.2,14,6,0,0,1,0,2015-12-09
nba-terrence-ross,6.9,3,2,0,1,0,0,2015-12-11
nba-terrence-ross,3.0,2,0,0,0,1,1,2015-12-13
nba-terrence-ross,13.6,12,3,0,0,2,0,2015-12-14
nba-terrence-ross,2.0,0,0,1,0,0,0,2015-12-17
nba-terrence-ross,16.6,11,3,0,2,1,0,2015-12-18
nba-terrence-ross,41.0,24,10,0,2,0,1,2015-12-20
nba-terrence-ross,5.4,0,2,1,0,1,1,2015-12-22
nba-terrence-ross,18.6,13,3,1,0,0,0,2015-12-26
nba-terrence-ross,9.1,0,3,1,1,0,1,2015-12-28
nba-terrence-ross,22.6,13,3,3,0,0,0,2015-12-30
nba-terrence-ross,18.5,6,5,1,1,1,2,2016-01-01
nba-terrence-ross,20.3,10,4,1,1,0,1,2016-01-03
nba-terrence-ross,7.8,4,4,0,0,1,0,2016-01-04
nba-terrence-ross,6.2,5,1,0,0,0,0,2016-01-06
nba-terrence-ross,29.4,17,2,2,4,0,0,2016-01-08
nba-terrence-ross,19.4,13,2,1,2,1,0,2016-01-09
nba-terrence-ross,15.2,8,6,0,0,0,0,2016-01-14
nba-terrence-ross,8.8,2,4,1,0,0,0,2016-01-18
nba-terrence-ross,27.9,18,2,3,1,0,0,2016-01-20
nba-terrence-ross,16.7,12,1,1,1,0,0,2016-01-22
nba-terrence-ross,4.4,3,2,0,0,1,0,2016-01-24
nba-terrence-ross,19.1,13,3,0,1,1,1,2016-01-26
nba-terrence-ross,18.4,9,2,2,2,0,0,2016-01-28
nba-terrence-ross,16.6,13,3,0,2,3,0,2016-01-30
nba-terrence-ross,18.9,15,2,0,1,0,0,2016-02-01
nba-terrence-ross,31.8,18,4,4,2,2,0,2016-02-02
nba-terrence-ross,33.2,22,6,2,0,0,0,2016-02-04
nba-terrence-ross,21.7,11,6,0,1,0,1,2016-02-08
nba-terrence-ross,23.1,16,3,1,1,0,0,2016-02-10
nba-terrence-ross,23.1,16,3,1,1,0,0,2016-02-19
nba-terrence-ross,7.0,7,0,0,0,0,0,2016-02-21
nba-terrence-ross,15.9,12,2,0,1,0,0,2016-02-22
nba-terrence-ross,24.7,17,1,1,1,1,2,2016-02-24
nba-terrence-ross,8.9,4,2,1,1,3,1,2016-02-26
nba-terrence-ross,14.9,13,2,0,1,2,0,2016-02-28
nba-terrence-ross,19.4,16,2,1,0,1,0,2016-03-02
nba-terrence-ross,15.6,9,3,1,0,1,1,2016-03-04
nba-terrence-ross,14.1,8,3,1,1,1,0,2016-03-06
nba-terrence-ross,3.9,0,2,0,1,0,0,2016-03-08
nba-terrence-ross,15.7,13,1,0,1,0,0,2016-03-10
nba-terrence-ross,11.7,9,1,0,1,0,0,2016-03-12
nba-terrence-ross,16.1,12,3,0,1,1,0,2016-03-14
nba-terrence-ross,7.4,3,2,1,0,0,0,2016-03-15
nba-terrence-ross,6.9,3,2,0,1,0,0,2016-03-17
nba-terrence-ross,2.0,0,0,1,0,0,0,2016-03-18
nba-terrence-ross,9.2,8,1,0,0,0,0,2016-03-30
nba-terrence-ross,17.1,12,3,0,1,0,0,2016-04-01
nba-terrence-ross,20.9,15,2,1,1,0,0,2016-04-02
nba-terrence-ross,10.6,5,3,1,0,0,0,2016-04-05
nba-terrence-ross,18.6,11,3,2,0,0,0,2016-04-07
nba-terrence-ross,10.4,7,2,0,0,1,1,2016-04-08
nba-terrence-ross,19.1,8,3,2,1,2,2,2016-04-10
nba-terrence-ross,11.5,6,5,0,1,2,0,2016-04-12
nba-terrence-ross,16.8,12,4,1,0,2,0,2016-04-13
nba-terrence-ross,15.4,13,2,0,0,0,0,current
nba-jason-thompson,15.6,9,3,0,2,0,0,2015-10-27
nba-jason-thompson,22.0,9,5,1,2,2,2,2015-10-30
nba-jason-thompson,26.5,8,10,2,1,1,1,2015-10-31
nba-jason-thompson,12.2,2,6,1,0,1,1,2015-11-02
nba-jason-thompson,3.7,2,1,0,1,1,0,2015-11-04
nba-jason-thompson,3.2,2,1,0,0,0,0,2015-11-07
nba-jason-thompson,3.9,0,2,0,1,0,0,2015-11-09
nba-jason-thompson,4.7,0,1,0,1,0,1,2015-11-14
nba-jason-thompson,6.4,2,2,1,0,0,0,2015-11-19
nba-jason-thompson,5.2,2,1,1,0,0,0,2015-11-30
nba-jason-thompson,14.8,2,4,2,2,1,1,2015-12-05
nba-jason-thompson,14.4,6,7,0,0,0,0,2015-12-06
nba-jason-thompson,8.9,4,2,1,1,1,0,2015-12-11
nba-jason-thompson,20.5,6,10,0,1,1,1,2015-12-16
nba-jason-thompson,12.3,4,4,0,1,0,1,2015-12-18
nba-jason-thompson,1.5,0,0,0,1,0,0,2015-12-23
nba-jason-thompson,25.1,12,8,0,1,0,1,2015-12-28
nba-jason-thompson,7.6,2,3,0,0,0,1,2015-12-30
nba-jason-thompson,6.5,5,0,0,1,0,0,2016-01-04
nba-jason-thompson,0.0,0,0,0,0,0,0,2016-01-08
nba-jason-thompson,1.2,2,1,0,0,2,0,2016-01-11
nba-jason-thompson,8.1,1,3,0,1,0,1,2016-01-13
nba-jason-thompson,0.0,0,0,0,0,0,0,2016-01-14
nba-jason-thompson,3.6,0,3,0,0,0,0,2016-01-16
nba-jason-thompson,9.6,4,3,0,0,0,1,2016-01-18
nba-jason-thompson,2.0,0,0,0,0,0,1,2016-01-20
nba-jason-thompson,0.0,0,0,0,0,0,0,2016-01-22
nba-jason-thompson,13.8,7,4,1,0,0,0,2016-01-25
nba-jason-thompson,2.0,2,0,0,0,0,0,2016-01-30
nba-jason-thompson,6.4,2,2,0,0,0,1,2016-01-31
nba-jason-thompson,7.6,4,3,0,0,0,0,2016-02-03
nba-jason-thompson,14.2,6,6,0,0,1,1,2016-02-06
nba-jason-thompson,1.2,0,1,0,0,0,0,2016-02-09
nba-jason-thompson,3.0,1,0,0,0,0,1,2016-02-19
nba-jason-thompson,10.3,4,4,0,1,0,0,2016-03-02
nba-jason-thompson,3.9,0,2,0,1,0,0,2016-03-06
nba-jason-thompson,11.9,3,2,0,3,0,1,2016-03-08
nba-jason-thompson,8.3,3,4,0,1,1,0,2016-03-10
nba-jason-thompson,7.2,6,1,0,0,0,0,2016-03-14
nba-jason-thompson,18.5,5,5,1,1,0,2,2016-03-17
nba-jason-thompson,5.6,2,3,0,0,0,0,2016-03-18
nba-jason-thompson,2.0,2,0,0,0,0,0,2016-03-23
nba-jason-thompson,5.4,4,2,0,0,1,0,2016-04-01
nba-jason-thompson,5.1,1,3,0,1,1,0,2016-04-02
nba-jason-thompson,5.8,0,4,0,0,1,1,2016-04-05
nba-jason-thompson,8.9,3,2,0,3,1,0,2016-04-08
nba-jason-thompson,20.7,8,6,1,1,0,1,2016-04-12
nba-jason-thompson,0.0,0,0,0,0,0,0,current
nba-c-j-mccollum,29.8,12,4,1,10,4,0,2015-10-28
nba-c-j-mccollum,69.7,35,11,4,9,2,1,2015-10-30
nba-c-j-mccollum,18.6,18,3,0,2,6,0,2015-10-31
nba-c-j-mccollum,34.1,25,3,0,7,5,0,2015-11-02
nba-c-j-mccollum,39.4,22,7,1,6,2,0,2015-11-04
nba-c-j-mccollum,36.5,21,5,2,5,2,0,2015-11-05
nba-c-j-mccollum,27.3,16,4,2,3,2,0,2015-11-08
nba-c-j-mccollum,44.9,25,2,5,5,2,1,2015-11-09
nba-c-j-mccollum,31.1,26,3,0,3,3,0,2015-11-11
nba-c-j-mccollum,30.8,16,4,1,6,1,0,2015-11-13
nba-c-j-mccollum,28.4,25,2,0,2,2,0,2015-11-15
nba-c-j-mccollum,36.1,28,3,1,3,2,0,2015-11-16
nba-c-j-mccollum,23.9,16,2,1,3,1,0,2015-11-18
nba-c-j-mccollum,40.4,27,2,2,6,2,0,2015-11-20
nba-c-j-mccollum,35.0,17,5,1,8,4,1,2015-11-22
nba-c-j-mccollum,32.4,16,7,4,2,5,1,2015-11-24
nba-c-j-mccollum,35.7,24,1,2,5,1,0,2015-11-28
nba-c-j-mccollum,47.8,30,4,2,6,4,2,2015-11-30
nba-c-j-mccollum,25.6,18,3,1,2,1,0,2015-12-01
nba-c-j-mccollum,25.7,18,1,0,5,1,0,2015-12-03
nba-c-j-mccollum,21.9,18,2,0,3,3,0,2015-12-05
nba-c-j-mccollum,23.4,16,2,1,4,3,0,2015-12-07
nba-c-j-mccollum,28.4,16,2,1,6,3,1,2015-12-08
nba-c-j-mccollum,24.9,18,2,2,1,1,0,2015-12-11
nba-c-j-mccollum,31.2,18,6,1,4,4,1,2015-12-12
nba-c-j-mccollum,23.7,21,1,2,1,4,0,2015-12-14
nba-c-j-mccollum,28.3,13,4,2,7,4,0,2015-12-16
nba-c-j-mccollum,34.8,24,4,1,4,2,0,2015-12-18
nba-c-j-mccollum,47.7,37,6,1,1,0,0,2015-12-20
nba-c-j-mccollum,28.2,21,6,1,2,5,0,2015-12-23
nba-c-j-mccollum,22.6,15,3,1,2,1,0,2015-12-26
nba-c-j-mccollum,23.8,18,4,1,2,4,0,2015-12-27
nba-c-j-mccollum,19.2,14,1,1,2,1,0,2015-12-30
nba-c-j-mccollum,32.6,20,3,1,6,2,0,2016-01-03
nba-c-j-mccollum,22.3,11,4,1,5,3,0,2016-01-04
nba-c-j-mccollum,31.2,27,1,0,4,3,0,2016-01-06
nba-c-j-mccollum,29.6,25,3,0,2,2,0,2016-01-08
nba-c-j-mccollum,36.1,22,3,2,5,1,0,2016-01-10
nba-c-j-mccollum,21.2,21,1,0,2,4,0,2016-01-13
nba-c-j-mccollum,33.4,17,2,5,4,2,0,2016-01-15
nba-c-j-mccollum,32.5,19,5,0,7,3,0,2016-01-16
nba-c-j-mccollum,26.4,16,2,1,4,0,0,2016-01-18
nba-c-j-mccollum,23.2,14,1,1,4,0,0,2016-01-20
nba-c-j-mccollum,39.7,31,1,1,3,1,1,2016-01-23
nba-c-j-mccollum,40.6,30,3,0,6,2,0,2016-01-26
nba-c-j-mccollum,21.6,16,3,0,2,1,0,2016-01-29
nba-c-j-mccollum,37.2,22,1,2,8,4,1,2016-01-31
nba-c-j-mccollum,19.4,13,2,1,2,1,0,2016-02-02
nba-c-j-mccollum,39.4,26,2,3,4,1,0,2016-02-04
nba-c-j-mccollum,23.0,17,0,0,2,1,2,2016-02-06
nba-c-j-mccollum,28.0,20,5,0,4,4,0,2016-02-08
nba-c-j-mccollum,37.6,29,3,1,4,3,0,2016-02-10
nba-c-j-mccollum,39.6,21,3,3,6,2,1,2016-02-19
nba-c-j-mccollum,29.5,17,5,0,5,1,0,2016-02-21
nba-c-j-mccollum,28.0,17,0,3,6,4,0,2016-02-23
nba-c-j-mccollum,36.3,19,4,2,5,3,2,2016-02-25
nba-c-j-mccollum,35.6,19,3,3,6,2,0,2016-02-27
nba-c-j-mccollum,35.1,24,3,2,5,4,0,2016-02-28
nba-c-j-mccollum,39.9,24,2,4,7,5,0,2016-03-01
nba-c-j-mccollum,28.6,15,3,0,8,2,0,2016-03-02
nba-c-j-mccollum,48.0,34,5,1,6,3,0,2016-03-04
nba-c-j-mccollum,24.1,17,3,0,3,1,0,2016-03-06
nba-c-j-mccollum,30.9,21,2,0,7,3,0,2016-03-08
nba-c-j-mccollum,28.4,18,2,0,4,0,1,2016-03-11
nba-c-j-mccollum,22.1,15,3,1,1,0,0,2016-03-12
nba-c-j-mccollum,26.1,22,3,0,1,1,0,2016-03-14
nba-c-j-mccollum,23.2,18,1,3,2,5,0,2016-03-17
nba-c-j-mccollum,26.1,19,3,0,3,3,1,2016-03-18
nba-c-j-mccollum,36.1,28,3,2,3,4,0,2016-03-20
nba-c-j-mccollum,37.0,17,5,2,6,1,1,2016-03-23
nba-c-j-mccollum,32.9,28,2,1,1,1,0,2016-03-24
nba-c-j-mccollum,48.4,32,7,0,6,1,0,2016-03-26
nba-c-j-mccollum,40.1,30,3,2,3,2,0,2016-03-28
nba-c-j-mccollum,40.4,26,7,1,2,3,2,2016-03-31
nba-c-j-mccollum,31.3,20,4,0,5,1,0,2016-04-02
nba-c-j-mccollum,31.1,17,3,1,5,1,1,2016-04-03
nba-c-j-mccollum,28.0,15,5,1,4,1,0,2016-04-05
nba-c-j-mccollum,32.2,26,6,0,2,8,2,2016-04-06
nba-c-j-mccollum,17.1,6,3,0,7,3,0,2016-04-09
nba-c-j-mccollum,34.3,21,4,2,7,6,0,2016-04-13
nba-c-j-mccollum,30.6,17,3,1,6,1,0,current
nba-al-farouq-aminu,16.4,7,7,0,2,2,0,2015-10-28
nba-al-farouq-aminu,24.7,12,1,2,5,0,0,2015-10-30
nba-al-farouq-aminu,15.1,5,8,0,1,3,1,2015-10-31
nba-al-farouq-aminu,12.7,5,6,0,1,1,0,2015-11-02
nba-al-farouq-aminu,18.4,8,7,1,0,0,0,2015-11-04
nba-al-farouq-aminu,27.7,13,6,1,5,2,0,2015-11-05
nba-al-farouq-aminu,26.0,16,10,0,0,6,2,2015-11-08
nba-al-farouq-aminu,32.6,20,8,0,2,0,0,2015-11-09
nba-al-farouq-aminu,48.7,27,6,3,5,1,1,2015-11-11
nba-al-farouq-aminu,22.1,10,8,2,1,3,0,2015-11-13
nba-al-farouq-aminu,17.5,8,5,1,1,2,1,2015-11-15
nba-al-farouq-aminu,10.9,5,2,1,1,0,0,2015-11-16
nba-al-farouq-aminu,28.6,14,8,1,2,2,1,2015-11-18
nba-al-farouq-aminu,21.3,16,4,0,1,1,0,2015-11-20
nba-al-farouq-aminu,47.3,28,9,1,1,1,3,2015-11-22
nba-al-farouq-aminu,28.4,11,7,3,2,2,1,2015-11-24
nba-al-farouq-aminu,5.2,4,1,0,0,0,0,2015-11-28
nba-al-farouq-aminu,25.5,16,5,3,1,4,0,2015-11-30
nba-al-farouq-aminu,12.2,9,1,1,0,0,0,2015-12-01
nba-al-farouq-aminu,14.3,7,4,1,1,3,1,2015-12-03
nba-al-farouq-aminu,26.4,11,7,1,2,0,1,2015-12-05
nba-al-farouq-aminu,19.1,14,3,0,1,0,0,2015-12-07
nba-al-farouq-aminu,23.3,10,9,0,1,1,1,2015-12-08
nba-al-farouq-aminu,33.9,10,12,1,3,1,2,2015-12-11
nba-al-farouq-aminu,31.3,17,9,0,1,0,1,2015-12-12
nba-al-farouq-aminu,21.2,6,6,1,2,1,2,2015-12-14
nba-al-farouq-aminu,21.6,10,3,1,0,2,4,2015-12-16
nba-al-farouq-aminu,14.0,5,5,1,0,1,1,2015-12-18
nba-al-farouq-aminu,21.6,9,8,1,0,3,2,2015-12-20
nba-al-farouq-aminu,30.4,10,7,1,2,1,4,2015-12-21
nba-al-farouq-aminu,13.8,7,4,1,0,0,0,2015-12-23
nba-al-farouq-aminu,20.3,17,4,0,1,3,0,2015-12-26
nba-al-farouq-aminu,19.3,9,9,0,1,2,0,2015-12-27
nba-al-farouq-aminu,22.1,11,3,1,5,2,0,2015-12-30
nba-al-farouq-aminu,31.8,15,14,1,0,2,0,2015-12-31
nba-al-farouq-aminu,27.8,16,4,3,2,2,0,2016-01-03
nba-al-farouq-aminu,4.7,0,1,1,1,2,1,2016-01-04
nba-al-farouq-aminu,26.1,13,8,2,1,2,0,2016-01-06
nba-al-farouq-aminu,15.3,4,4,1,1,1,2,2016-01-08
nba-al-farouq-aminu,18.6,16,3,0,0,1,0,2016-01-10
nba-al-farouq-aminu,22.6,11,3,0,4,0,1,2016-01-13
nba-al-farouq-aminu,19.5,9,5,2,1,1,0,2016-01-15
nba-al-farouq-aminu,16.3,7,9,0,1,3,0,2016-01-16
nba-al-farouq-aminu,15.6,7,3,1,2,0,0,2016-01-18
nba-al-farouq-aminu,31.7,10,11,2,1,1,2,2016-01-20
nba-al-farouq-aminu,19.7,2,6,1,3,0,2,2016-01-23
nba-al-farouq-aminu,16.5,7,5,1,1,0,0,2016-01-26
nba-al-farouq-aminu,22.8,12,4,1,2,1,1,2016-01-29
nba-al-farouq-aminu,24.5,12,5,0,5,1,0,2016-01-31
nba-al-farouq-aminu,10.2,2,6,1,0,1,0,2016-02-02
nba-al-farouq-aminu,36.1,13,13,3,1,2,1,2016-02-04
nba-al-farouq-aminu,12.3,2,4,1,3,1,0,2016-02-06
nba-al-farouq-aminu,20.2,13,6,0,2,3,0,2016-02-08
nba-al-farouq-aminu,8.6,5,3,2,0,4,0,2016-02-10
nba-al-farouq-aminu,14.5,4,5,0,3,0,0,2016-02-19
nba-al-farouq-aminu,36.9,17,12,2,1,0,0,2016-02-21
nba-al-farouq-aminu,15.2,6,6,1,0,0,0,2016-02-23
nba-al-farouq-aminu,20.2,10,6,0,2,2,1,2016-02-25
nba-al-farouq-aminu,35.0,16,15,1,0,3,1,2016-02-27
nba-al-farouq-aminu,11.0,4,5,0,0,1,1,2016-02-28
nba-al-farouq-aminu,22.6,8,8,1,2,2,1,2016-03-01
nba-al-farouq-aminu,29.8,16,4,2,2,0,1,2016-03-02
nba-al-farouq-aminu,21.0,10,5,0,4,1,0,2016-03-04
nba-al-farouq-aminu,16.7,9,6,0,1,3,1,2016-03-06
nba-al-farouq-aminu,13.1,10,3,0,1,4,1,2016-03-08
nba-al-farouq-aminu,13.7,5,6,0,1,2,1,2016-03-11
nba-al-farouq-aminu,18.1,11,3,0,3,1,0,2016-03-12
nba-al-farouq-aminu,17.5,11,5,0,1,1,0,2016-03-14
nba-al-farouq-aminu,26.7,10,6,2,5,2,0,2016-03-17
nba-al-farouq-aminu,24.1,10,8,1,3,2,0,2016-03-18
nba-al-farouq-aminu,26.9,12,7,1,3,2,1,2016-03-20
nba-al-farouq-aminu,24.1,16,3,3,1,3,0,2016-03-23
nba-al-farouq-aminu,19.3,5,9,0,3,1,0,2016-03-24
nba-al-farouq-aminu,30.8,14,9,0,4,0,0,2016-03-26
nba-al-farouq-aminu,16.4,6,7,1,0,2,1,2016-03-28
