Stat,Linear,Lasso,RFR,SVR(Linear),SVR(RBF)
FanDuel Points,0.52220443859523891,0.52214721036579204,0.5191302381200773,-0.32388733247583268,-0.11285798000258662,current
Points,0.46623871962272362,0.46633379796646668,0.45731687107903812,-0.10053951457545153,-0.054296429628705178,current
Rebounds,0.45432079495251704,0.45287027954681747,0.44635420710112267,-0.056861825303597964,0.00018943106697144607,current
Steals,0.12597477659199152,0.11255679739759472,0.055162076120000014,-0.041456834399177689,-0.085358907101022341,current
Assists,0.52887060247259621,0.52528302265393445,0.50977673163414772,-0.046290456290195126,-0.056111054408786831,current
Turnovers,0.23897825200318723,0.23327227255928029,0.19775155887908946,-0.0040147256239164708,-0.012915167280653339,current
Blocks,0.22884355143033089,0.205895012126877,0.18666785535483665,-0.02946210288005147,-0.032288351858680286,current
